AAMI	Acadian Asset Management Inc.	Financials	Asset Management & Custody Banks	Boston, Massachusetts	view	0001748824
AAP	Advance Auto Parts, Inc.	Consumer Discretionary	Automotive Retail	Raleigh, North Carolina	view	0001158449
AAT	American Assets Trust	Real Estate	Diversified REITs	San Diego, California	view	0001500217
ABCB	Ameris Bancorp	Financials	Regional Banks	Atlanta, Georgia	view	0000351569
ABG	Asbury Automotive Group	Consumer Discretionary	Automotive Retail	Duluth, Georgia	view	0001144980
ABM	ABM Industries, Inc.	Industrials	Environmental & Facilities Services	New York City, New York	view	0000771497
ABR	Arbor Realty Trust	Financials	Mortgage REITs	Uniondale, New York	view	0001253986
ACA	Arcosa, Inc.	Industrials	Construction & Engineering	Dallas, Texas	view	0001739445
ACAD	Acadia Pharmaceuticals	Health Care	Pharmaceuticals	San Diego, California	view	0001070494
ACHC	Acadia Healthcare	Health Care	Health Care Facilities	Franklin, Tennessee	view	0001520697
ACIW	ACI Worldwide	Information Technology	Application Software	Miami, Florida	view	0000935036
ACLS	Axcelis Technologies, Inc.	Information Technology	Semiconductor Materials & Equipment	Beverly, Massachusetts	view	0001113232
ACMR	ACM Research, Inc.	Information Technology	Semiconductor Materials & Equipment	Fremont, California	view	0001680062
ACT	Enact Holdings, Inc.	Financials	Commercial & Residential Mortgage Finance	Raleigh, North Carolina	view	0001823529
ADAM	Adamas Trust, Inc.	Real Estate	Mortgage REITs	New York City, New York	view	0001273685
ADEA	Adeia, Inc.	Information Technology	IT Consulting & Other Services	San Jose, California	view	0001803696
ADIG	ADI Global Distribution	Information Technology	Electronic Equipment & Instruments	Melville, New York	view	0002105139
ADMA	ADMA Biologics, Inc.	Health Care	Biotechnology	Ramsey, New Jersey	view	0001368514
ADNT	Adient	Consumer Discretionary	Automotive Parts & Equipment	Plymouth, Michigan	view	0001670541
ADT	ADT Inc.	Consumer Discretionary	Specialized Consumer Services	Boca Raton, Florida	view	0001703056
ADUS	Addus HomeCare Corp.	Health Care	Health Care Services	Frisco, Texas	view	0001468328
AEO	American Eagle Outfitters	Consumer Discretionary	Apparel Retail	Pittsburgh, Pennsylvania	view	0000919012
AESI	Atlas Energy Solutions, Inc.	Energy	Oil & Gas Equipment & Services	Austin, Texas	view	0001984060
AGNT	eXp World Holdings, Inc.	Real Estate	Real Estate Services	Bellingham, Washington	view	0001495932
AGO	Assured Guaranty Ltd.	Financials	Property & Casualty Insurance	Hamilton, Bermuda	view	0001273813
AGX	Argan, Inc.	Industrials	Construction & Engineering	Arlington County, Virginia	view	0000100591
AGYS	Agilysys, Inc.	Information Technology	Application Software	Alpharetta, Georgia	view	0000078749
AHCO	AdaptHealth Corp.	Health Care	Health Care Equipment	Plymouth Meeting, Pennsylvania	view	0001725255
AIN	Albany International Corp.	Industrials	Industrial Machinery & Supplies & Components	Rochester, New Hampshire	view	0000819793
AIR	AAR Corp.	Industrials	Aerospace & Defense	Wood Dale, Illinois	view	0000001750
AKR	Acadia Realty Trust	Real Estate	Retail REITs	Rye, New York	view	0000899629
ALG	Alamo Group	Industrials	Construction Machinery & Heavy Transportation Equipment	Seguin, Texas	view	0000897077
ALGT	Allegiant Travel Company	Industrials	Passenger Airlines	Summerlin, Nevada	view	0001362468
ALHC	Alignment Healthcare, Inc.	Health Care	Health Care Services	Orange, California	view	0001832466
ALKS	Alkermes plc	Health Care	Pharmaceuticals	Dublin, Ireland	view	0001520262
