AADX	Applied Aerospace & Defense Inc. Common Stock	Industrials	Military/Government/Technical	2229048188
AARD	Aardvark Therapeutics Inc. Common Stock	Health Care	Biotechnology: Pharmaceutical Preparations	117740471
ABAT	American Battery Technology Company Common Stock	Industrials	Mining & Quarrying of Nonmetallic Minerals (No Fuels)	379232057
ABEO	Abeona Therapeutics Inc. Common Stock	Health Care	Biotechnology: Pharmaceutical Preparations	343104102
ABOS	Acumen Pharmaceuticals Inc. Common Stock	Health Care	Biotechnology: Biological Products (No Diagnostic Substances)	229968966
ABSI	Absci Corporation Common Stock	Health Care	Biotechnology: Commercial Physical & Biological Resarch	1513635568
ABTC	American Bitcoin Corp. Class A Common Stock	Finance	Finance: Consumer Services	581829507
ABX	Abacus Global Management Inc. Class A Common Stock	Finance	Investment Managers	939783513
ACCO	Acco Brands Corporation Common Stock	Consumer Discretionary	Publishing	407999451
ACDC	ProFrac Holding Corp. Class A Common Stock	Energy	Oilfield Services/Equipment	937932224
ACEL	Accel Entertainment Inc. 	Consumer Discretionary	Services-Misc. Amusement & Recreation	964578483
ACHV	Achieve Life Sciences Inc. Common Shares	Health Care	Biotechnology: In Vitro & In Vivo Diagnostic Substances	873642140
ACIC	American Coastal Insurance Corporation Common Stock	Finance	Property-Casualty Insurers	450973239
ACNB	ACNB Corporation Common Stock	Finance	Major Banks	670706884
ACR	ACRES Commercial Realty Corp. Common Stock	Real Estate	Real Estate Investment Trusts	192101543
ACRE	Ares Commercial Real Estate Corporation Common Stock	Real Estate	Real Estate Investment Trusts	253548686
ACRS	Aclaris Therapeutics Inc. Common Stock	Health Care	Biotechnology: Pharmaceutical Preparations	908217170
ACTG	Acacia Research Corporation (Acacia Tech) Common Stock	Miscellaneous	Multi-Sector Companies	443044095
ACVA	ACV Auctions Inc. Class A Common Stock	Consumer Discretionary	Business Services	1185259700
ADTN	ADTRAN Holdings Inc. Common Stock	Utilities	Telecommunications Equipment	578517990
ADV	Advantage Solutions Inc. Class A Common Stock	Consumer Discretionary	Business Services	403259134
AEHR	Aehr Test Systems Common Stock	Industrials	Electrical Products	2813840017
AEVA	Aeva Technologies Inc. Common Stock	Consumer Discretionary	Auto Parts:O.E.M.	1093683343
AEYE	AudioEye Inc. Common Stock	Technology	Computer Software: Prepackaged Software	95655219
AGEN	Agenus Inc. Common Stock	Health Care	Biotechnology: Biological Products (No Diagnostic Substances)	370968154
AGIO	Agios Pharmaceuticals Inc. Common Stock	Health Care	Biotechnology: Pharmaceutical Preparations	1976132294
AGL	agilon health inc. Common Stock	Health Care	Misc Health and Biotechnology Services	1486022085
AGM	Federal Agricultural Mortgage Corporation Common Stock	Finance	Finance Companies	2472144174
AGPU	Axe Compute Inc. Common Stock	Health Care	Industrial Specialties	123677293
AI	C3.ai Inc. Class A Common Stock	Technology	Computer Software: Prepackaged Software	1674511955
AIAI	AIAI Holdings Corporation Class A Common Stock	Technology	EDP Services	295370341
AII	American Integrity Insurance Group Inc. Common Stock	Finance	Property-Casualty Insurers	509429102
AIOT	PowerFleet Inc. Common Stock	Telecommunications	Telecommunications Equipment	405362272
AIP	Arteris Inc. Common Stock	Technology	Semiconductors	1050380420
AIRJ	AirJoule Technologies Corporation Class A Common Stock	Industrials	Industrial Machinery/Components	335197591
AIRO	AIRO Group Holdings Inc. Common Stock	Industrials	Aerospace	233513786
AIRS	AirSculpt Technologies Inc. Common Stock	Health Care	Medical/Nursing Services	201506109
AIRT	Air T Inc. Common Stock	Consumer Discretionary	Air Freight/Delivery Services	85145499
AIV	Apartment Investment and Management Company Common Stock	Real Estate	Real Estate Investment Trusts	371806459
AKTS	Aktis Oncology Inc. Common stock	Health Care	Biotechnology: Pharmaceutical Preparations	1504507448
ALCO	Alico Inc. Common Stock	Consumer Staples	Farming/Seeds/Milling	299932421
ALEC	Alector Inc. Common Stock	Health Care	Biotechnology: Biological Products (No Diagnostic Substances)	274676021
ALIT	Alight Inc. Class A Common Stock	Consumer Discretionary	Business Services	401931268
ALKT	Alkami Technology Inc. Common Stock	Technology	Computer Software: Prepackaged Software	2105687586
ALMR	Alamar Biosciences Inc. Common Stock	Industrials	Biotechnology: Laboratory Analytical Instruments	2137297193
ALMS	Alumis Inc. Common Stock	Health Care	Biotechnology: Pharmaceutical Preparations	1436731153
ALMU	Aeluma Inc. Common Stock	Technology	Semiconductors	236871035
ALNT	Allient Inc. Common Stock	Industrials	Electrical Products	1608777591
ALOY	REalloys Inc. Common Stock	Basic Materials	Metal Mining	696775184
ALT	Altimmune Inc. Common Stock	Health Care	Biotechnology: Pharmaceutical Preparations	665250537
ALTG	Alta Equipment Group Inc. Class A Common Stock	Industrials	Industrial Machinery/Components	199267919
ALTI	AlTi Global Inc. Class A Common Stock	Finance	Investment Managers	467830296
ALTO	Alto Ingredients Inc. Common Stock	Industrials	Major Chemicals	313372959
ALX	Alexander's Inc. Common Stock	Real Estate	Real Estate Investment Trusts	1340255042
ALXO	ALX Oncology Holdings Inc. Common Stock	Health Care	Biotechnology: Pharmaceutical Preparations	277936764
AMBA	Ambarella Inc. Ordinary Shares	Technology	Semiconductors	2758870155
AMBP	Ardagh Metal Packaging S.A. Ordinary Shares	Industrials	Containers/Packaging	2994474926
AMBQ	Ambiq Micro Inc. Common Stock	Technology	Semiconductors	1389401593
AMCX	AMC Global Media Inc. Class A Common Stock	Telecommunications	Cable & Other Pay Television Services	514799638
AMPG	Amplitech Group Inc. Common Stock	Telecommunications	Telecommunications Equipment	101247899
AMPL	Amplitude Inc. Class A Common Stock	Technology	Computer Software: Prepackaged Software	1626407179
AMPX	Amprius Technologies Inc. Common Stock	Miscellaneous	Industrial Machinery/Components	1444737312
AMPY	Amplify Energy Corp. Common Stock	Energy	Oil & Gas Production	203136605
AMRC	Ameresco Inc. Class A Common Stock	Consumer Discretionary	Engineering & Construction	1228482785
AMSC	American Superconductor Corporation Common Stock	Consumer Discretionary	Metal Fabrications	1431465326
AMWL	American Well Corporation Class A Common Stock	Consumer Discretionary	Business Services	220943766
ANAB	AnaptysBio Inc. Common Stock	Health Care	Biotechnology: Pharmaceutical Preparations	1681761721
ANGI	Angi Inc. Class A Common Stock	Consumer Discretionary	Advertising	198725630
ANGO	AngioDynamics Inc. Common Stock	Health Care	Medical/Dental Instruments	628252313
ANGX	Angel Studios Inc. Class A Common Stock	Consumer Discretionary	Movies/Entertainment	855343941
ANIK	Anika Therapeutics Inc. Common Stock	Health Care	Medical/Dental Instruments	278499522
ANIX	Anixa Biosciences Inc. Common Stock	Health Care	Biotechnology: Pharmaceutical Preparations	104450803
ANNA	AleAnna Inc. Class A Common Stock	Energy	Oil & Gas Production	200803200
ANNX	Annexon Inc. Common Stock	Health Care	Biotechnology: Pharmaceutical Preparations	923250383
ANRO	Alto Neuroscience Inc. Common Stock	Health Care	Biotechnology: Pharmaceutical Preparations	1395056797
AOMR	Angel Oak Mortgage REIT Inc. Common Stock	Finance	Real Estate	192915628
AOUT	American Outdoor Brands Inc. Common Stock 	Consumer Discretionary	Recreational Games/Products/Toys	181103098
AP	Ampco-Pittsburgh Corporation Common Stock	Industrials	Fluid Controls	179316830
APC	ARKO Petroleum Corp. Class A Common Stock	Energy	Oil Refining/Marketing	238708535
APEI	American Public Education Inc. Common Stock	Real Estate	Other Consumer Services	830157990
APMD	Apnimed Inc. Common Stock	Health Care	Biotechnology: Pharmaceutical Preparations	1043090118
APPN	Appian Corporation Class A Common Stock	Technology	Computer Software: Prepackaged Software	2748350897
APPS	Digital Turbine Inc. Common Stock	Miscellaneous	Multi-Sector Companies	1296084038
AQST	Aquestive Therapeutics Inc. Common Stock	Health Care	Biotechnology: Pharmaceutical Preparations	670232200
ARDT	Ardent Health Inc. Common Stock	Health Care	Hospital/Nursing Management	1538810845
ARDX	Ardelyx Inc. Common Stock	Health Care	Biotechnology: Pharmaceutical Preparations	941929022
AREC	American Resources Corporation Class A Common Stock	Energy	Coal Mining	259940191
ARHS	Arhaus Inc. Class A Common Stock	Consumer Discretionary	Other Specialty Stores	1237492629
ARI	Apollo Commercial Real Estate Finance Inc	Real Estate	Real Estate Investment Trusts	882099200
ARKO	ARKO Corp. Common Stock	Consumer Staples	Food Chains	548588176
ARRY	Array Technologies Inc. Common Stock	Technology	Semiconductors	708435383
ARTNA	Artesian Resources Corporation Class A Common Stock	Utilities	Water Supply	373738509
ARTV	Artiva Biotherapeutics Inc. Common Stock	Health Care	Biotechnology: Biological Products (No Diagnostic Substances)	547080454
ARVN	Arvinas Inc. Common Stock	Health Care	Biotechnology: Pharmaceutical Preparations	613976333
ASA	ASA  Gold and Precious Metals Limited	Industrials	Precious Metals	1149215849
ASAN	Asana Inc. Class A Common Stock	Technology	Computer Software: Prepackaged Software	2030791576
ASC	Ardmore Shipping Corporation Common Stock	Consumer Discretionary	Marine Transportation	741383496
ASIC	Ategrity Specialty Insurance Company Holdings Common Stock	Finance	Property-Casualty Insurers	1313197827
ASIX	AdvanSix Inc. Common Stock 	Industrials	Major Chemicals	471170696
ASLE	AerSale Corporation Common Stock	Consumer Discretionary	Industrial Specialties	276815225
ASMB	Assembly Biosciences Inc. Common Stock	Health Care	Biotechnology: Pharmaceutical Preparations	745197814
ASPI	ASP Isotopes Inc. Common Stock	Industrials	Major Chemicals	643899396
ASPN	Aspen Aerogels Inc. Common Stock	Consumer Discretionary	RETAIL: Building Materials	408304817
ASST	Strive Inc. Class A Common Stock	Finance	Finance: Consumer Services	2434008100
ASUR	Asure Software Inc Common Stock	Technology	EDP Services	268000164
ASYS	Amtech Systems Inc. Common Stock	Technology	Industrial Machinery/Components	261746110
ATEC	Alphatec Holdings Inc. Common Stock	Health Care	Medical/Dental Instruments	1459562668
ATEX	Anterix Inc. Common Stock	Telecommunications	Telecommunications Equipment	1691736238
ATLC	Atlanticus Holdings Corporation Common Stock	Finance	Finance: Consumer Services	1412785639
ATLO	Ames National Corporation Common Stock	Finance	Major Banks	287328217
ATNI	ATN International Inc. Common Stock	Telecommunications	Telecommunications Equipment	476425832
ATOM	Atomera Incorporated Common Stock	Technology	Semiconductors	157657130
ATRA	Atara Biotherapeutics Inc. Common Stock	Health Care	Biotechnology: Biological Products (No Diagnostic Substances)	97968050
ATRC	AtriCure Inc. Common Stock	Health Care	Medical/Dental Instruments	2620631467
ATTO	Attovia Therapeutics Inc. Common Stock	Health Care	Biotechnology: Biological Products (No Diagnostic Substances)	1166389744
AURA	Aura Biosciences Inc. Common Stock	Health Care	Biotechnology: Biological Products (No Diagnostic Substances)	784008356
AVAH	Aveanna Healthcare Holdings Inc. Common Stock	Health Care	Medical/Nursing Services	2963423472
AVBP	ArriVent BioPharma Inc. Common Stock	Health Care	Biotechnology: Pharmaceutical Preparations	1526074213
AVEX	AEVEX Corp. Class A Common Stock	Industrials	Aerospace	1878266799
AVIR	Atea Pharmaceuticals Inc. Common Stock	Health Care	Biotechnology: Pharmaceutical Preparations	467593395
AVLN	Avalyn Pharma Inc. Common Stock	Health Care	Biotechnology: Pharmaceutical Preparations	1657614422
AVNW	Aviat Networks Inc. Common Stock	Technology	Radio And Television Broadcasting And Communications Equipment	253214441
AVO	Mission Produce Inc. Common Stock	Consumer Staples	Farming/Seeds/Milling	1119895153
AVPT	AvePoint Inc. Class A Common Stock	Technology	Computer Software: Prepackaged Software	2841323671
AVR	Anteris Technologies Global Corp. Common Stock	Health Care	Industrial Specialties	881024605
AVTX	Avalo Therapeutics Inc. Common Stock	Health Care	Biotechnology: Pharmaceutical Preparations	1031304688
AVXL	Anavex Life Sciences Corp. Common Stock	Health Care	Biotechnology: Biological Products (No Diagnostic Substances)	265112968
AXGN	Axogen Inc. Common Stock	Health Care	Biotechnology: Electromedical & Electrotherapeutic Apparatus	2595605848
BALY	Bally's Corporation Common Stock	Consumer Discretionary	Hotels/Resorts	461291431
BAND	Bandwidth Inc. Class A Common Stock	Technology	Computer Software: Prepackaged Software	1408553091
BBAI	BigBear.ai Inc. Common Stock	Technology	Computer Software: Prepackaged Software	1400123920
BBCP	Concrete Pumping Holdings Inc. Common Stock	Consumer Discretionary	Engineering & Construction	529130910
BBDC	Barings BDC Inc. Common Stock	Finance	Diversified Financial Services	944456094
BBNX	Beta Bionics Inc. Common Stock	Health Care	Medical/Dental Instruments	873699741
BBOT	BridgeBio Oncology Therapeutics Inc. Common Stock  	Health Care	Biotechnology: Pharmaceutical Preparations	719964918
BBSI	Barrett Business Services Inc. Common Stock	Consumer Discretionary	Professional Services	821814954
BBW	Build-A-Bear Workshop Inc. Common Stock	Consumer Discretionary	Recreational Games/Products/Toys	368976947
BCAX	Bicara Therapeutics Inc. Common Stock	Health Care	Biotechnology: Pharmaceutical Preparations	1533226881
BCIC	BCP Investment Corporation Common Stock	Finance	Finance: Consumer Services	90896006
BCML	BayCom Corp Common Stock	Finance	Major Banks	336339604
BCRX	BioCryst Pharmaceuticals Inc. Common Stock	Health Care	Biotechnology: Biological Products (No Diagnostic Substances)	2545129646
BCSF	Bain Capital Specialty Finance Inc. Common Stock	Finance	Finance/Investors Services	766745753
BCX	BlackRock Resources Common Shares of Beneficial Interest	Finance	Finance/Investors Services	1108245611
BDL	Flanigan's Enterprises Inc. Common Stock	Consumer Discretionary	Restaurants	87337823
BDSX	Biodesix Inc. Common Stock	Health Care	Medical Specialities	276228269
BDTX	Black Diamond Therapeutics Inc. Common Stock	Health Care	Biotechnology: Biological Products (No Diagnostic Substances)	121801944
BELFA	Bel Fuse Inc. Class A Common Stock	Other		2922833469
BFLY	Butterfly Network Inc. Class A Common Stock	Health Care	Medical Electronics	1959858947
BGS	B&G Foods Inc. Common Stock	Consumer Staples	Packaged Foods	267396958
BH	Biglari Holdings Inc. Class B Common Stock	Consumer Discretionary	Restaurants	892813563
BHRB	Burke & Herbert Financial Services Corp. Common Stock	Finance	Major Banks	1460531838
BHVN	Biohaven Ltd. Common Shares 	Health Care	Biotechnology: Pharmaceutical Preparations	2369876924
BIOA	BioAge Labs Inc. Common Stock	Health Care	Biotechnology: Pharmaceutical Preparations	440151357
BKD	Brookdale Senior Living Inc. Common Stock	Health Care	Hospital/Nursing Management	2810879056
BKKT	Bakkt Inc. Class A Common Stock	Finance	Finance: Consumer Services	375428585
BKSY	BlackSky Technology Inc. Class A Common Stock	Technology	Radio And Television Broadcasting And Communications Equipment	838959343
BKTI	BK Technologies Corporation Common Stock	Technology	Radio And Television Broadcasting And Communications Equipment	275768499
BKV	BKV Corporation Common Stock	Energy	Oil & Gas Production	2851949850
BLBD	Blue Bird Corporation Common Stock	Consumer Discretionary	Construction/Ag Equipment/Trucks	2015546362
BLMN	Bloomin' Brands Inc. Common Stock	Consumer Discretionary	Restaurants	838228777
BLSM	BlossomHill Therapeutics Inc. Common Stock	Health Care	Biotechnology: Pharmaceutical Preparations	665869300
BLZE	Backblaze Inc. Class A Common Stock	Technology	Computer Software: Prepackaged Software	832864500
BMBL	Bumble Inc. Class A Common Stock	Technology	Computer Software: Programming Data Processing	382708111
BMEA	Biomea Fusion Inc. Common Stock	Health Care	Biotechnology: Pharmaceutical Preparations	147142220
BNAI	Brand Engagement Network Inc. Common Stock	Technology	EDP Services	79308655
BNC	CEA Industries Inc. Common Stock	Consumer Staples	Farming/Seeds/Milling	144010837
BNED	Barnes & Noble Education Inc Common Stock	Consumer Discretionary	Other Specialty Stores	440938546
BNTC	Benitec Biopharma Inc. Common Stock	Health Care	Biotechnology: Pharmaceutical Preparations	435612955
BOBS	Bob's Discount Furniture Inc. Common Stock	Consumer Discretionary	Other Specialty Stores	2305320021
BOC	Boston Omaha Corporation Class A Common Stock	Finance	Real Estate	414541548
BOW	Bowhead Specialty Holdings Inc. Common Stock	Finance	Property-Casualty Insurers	1108532118
BRBR	BellRing Brands Inc. Common Stock 	Consumer Staples	Packaged Foods	1208130436
BRCB	Black Rock Coffee Bar Inc. Class A Common Stock	Consumer Discretionary	Restaurants	479696265
BRCC	BRC Inc. Class A Common Stock	Consumer Staples	Beverages (Production/Distribution)	219001528
BRR	ProCap Financial Inc. Common Stock	Finance	Finance: Consumer Services	235063070
BRUN	Boost Run Inc. Class A Common Stock	Technology	EDP Services	1402158459
BRVE	Braveheart Bio Inc. Common Stock	Health Care	Biotechnology: Pharmaceutical Preparations	1964463138
BTGO	BitGo Holdings Inc. Class A Common Stock	Finance	Finance: Consumer Services	858083041
BUR	Burford Capital Limited Ordinary Shares	Finance	Finance: Consumer Services	951830421
BUSE	First Busey Corporation Class A Common Stock	Finance	Major Banks	2531809471
BVS	Bioventus Inc. Class A Common Stock	Health Care	Medical/Dental Instruments	1183172752
BW	Babcock & Wilcox Enterprises Inc. Common Stock	Industrials	Building Products	1057651969
BWEN	Broadwind Inc. Common Stock	Telecommunications	Metal Fabrications	98178098
BWMN	Bowman Consulting Group Ltd. Common Stock	Consumer Discretionary	Professional Services	735545774
BXC	Bluelinx Holdings Inc. Common Stock	Consumer Discretionary	Wholesale Distributors	643044353
BYND	Beyond Meat Inc. Common Stock	Consumer Staples	Packaged Foods	202716859
BYRN	Byrna Technologies Inc. Common Stock	Miscellaneous	Industrial Machinery/Components	86129495
BZH	Beazer Homes USA Inc. Common Stock	Consumer Discretionary	Homebuilding	887364261
CABA	Cabaletta Bio Inc. Common Stock	Health Care	Biotechnology: Biological Products (No Diagnostic Substances)	588322694
CABO	Cable One Inc. Common Stock	Telecommunications	Cable & Other Pay Television Services	144514870
CAC	Camden National Corporation Common Stock	Finance	Major Banks	982901340
CADL	Candel Therapeutics Inc. Common Stock	Health Care	Biotechnology: Biological Products (No Diagnostic Substances)	977907261
