,ticker,close,ret3y,sma200_rising,strong,hi252,dd,fresh,r5,spy5,x5,r20,spy20,x20,r60,spy60,x60,r120,spy120,x120,r250,spy250,x250,worst60
2018-11-19,AAPL,46.465,0.5846193196350926,True,True,58.3675,-0.20392341628474742,True,-0.0625201764769181,-0.002601263470828896,-0.0599189130060892,-0.13434843430539134,-0.06629505759940557,-0.06805337670598577,-0.08032928010330365,0.03251579338535859,-0.11284507348866224,0.02722479285483681,0.05930880713489395,-0.03208401428005714,0.43710319595394376,0.15949461166852452,0.27760858428541924,-0.2359840740342194
2020-03-12,AAPL,62.0575,0.7840304729049878,True,True,81.9625,-0.24285496416043928,True,-0.0138984006767916,-0.030631574704768183,0.016733174027976583,0.07960359344156642,0.12127685300874602,-0.0416732595671796,0.3433509245457842,0.3026480190238199,0.04070290552196432,1.162188293115256,0.42114384748700173,0.7410444456282543,0.9333682471901061,0.5701906412478335,0.36317760594227266,-0.1434959513354549
2020-09-17,AAPL,110.34,1.7605704278208658,True,True,137.98,-0.2003188867951876,True,-0.01921334058365054,-0.03674368747022383,0.01753034688657329,0.09398223672285644,0.034718913768461146,0.05926332295439529,0.10938916077578398,0.09069795140543135,0.018691209370352624,0.105310857350009,0.1717782277274893,-0.0664673703774803,0.3506434656516222,0.33361124344926174,0.017032222202360447,-0.06561537067246703
2018-03-22,ABBV,98.1,0.6220238095238095,True,True,125.86,-0.22056252979501034,True,-0.03516819571865437,-0.0019721621724125837,-0.03319603354624179,-0.05606523955147813,0.011150301513255245,-0.06721554106473338,0.003873598369011244,0.04888686615845561,-0.04501326778944437,-0.04954128440366967,0.09652216786134171,-0.14606345226501138,-0.17186544342507648,0.0798725679827057,-0.2517380114077822,-0.10071355759429146
2020-03-16,ABBV,74.27,0.13095781940003026,True,True,97.86,-0.2410586552217454,True,-0.13154705803150657,-0.07046070460704612,-0.06108635342446045,0.10583007943988143,0.18319783197831985,-0.07736775253843842,0.3046990709573181,0.3299979153637691,-0.025298844406451027,0.23697320587047277,0.4400250156347718,-0.20305180976429904,0.4571159283694628,0.6429435063581406,-0.18582757798867777,-0.1578026120910192
2022-06-13,ABBV,139.42,0.7659278024065863,True,True,175.91,-0.20743562048774944,True,0.029048916941615266,0.0001866666666665573,0.02886225027494871,0.09130684263376865,0.010213333333333185,0.08109350930043546,0.007889829292784478,0.06767999999999996,-0.059790170707215484,0.1738631473246306,0.08509333333333347,0.08876981399129713,-0.01212164682255057,0.15680000000000005,-0.16892164682255062,-0.03815808348873906
2024-11-15,ABBV,164.99,0.4105326152004789,True,True,207.32,-0.2041771174995176,True,0.07248924177222849,0.01666239863422958,0.055826843137998905,0.04024486332504984,0.03591976099018357,0.004325102334866271,0.16897993817807144,0.04088775074690565,0.1280921874311658,0.13946299775743976,0.001860862142552433,0.13760213561488732,0.4182677738044729,0.13644046094750317,0.2818273128569697,-0.007151948602945657
2020-03-16,ABT,73.66,0.6441964285714286,True,True,92.45,-0.20324499729583567,True,-0.14716263915286443,-0.07046070460704612,-0.0767019345458183,0.2101547651371165,0.18319783197831985,0.02695693315879666,0.2511539505837632,0.3299979153637691,-0.07884396478000588,0.4326635894651101,0.4400250156347718,-0.007361426169661733,0.5844420309530274,0.6429435063581406,-0.05850147540511319,-0.16358946510996464
2020-03-09,ACN,164.11,0.32197518930240054,True,True,216.39,-0.2416008133462728,True,-0.07050149290110308,-0.12536921562192327,0.05486772272082019,0.011821339345560844,-0.03416839878933742,0.04598973813489826,0.26305526780817745,0.1383874849578821,0.12466778285029534,0.46773505575528596,0.27021113663712937,0.1975239191181566,0.5203826701602581,0.3989352003792437,0.1214474697810144,-0.16428005605995977
2022-01-26,ACN,329.89,1.166907514450867,True,True,417.37,-0.2095981982413686,True,0.08966625238715942,0.05530942821542295,0.034356824171736466,-0.04158962078268502,-0.011721814573815048,-0.029867806208869974,-0.05786777410652033,-0.01693663759287456,-0.04093113651364577,-0.1462002485677043,-0.08909040564862247,-0.05710984291908183,-0.17196641304677307,-0.07621486916793574,-0.09575154387883733,-0.09860862711813023
