universe,case,events,avg 5d,median 5d,vs SPY 5d,beat SPY 5d,avg 20d,median 20d,vs SPY 20d,beat SPY 20d,avg 60d,median 60d,vs SPY 60d,beat SPY 60d,avg 120d,median 120d,vs SPY 120d,beat SPY 120d,avg 250d,median 250d,vs SPY 250d,beat SPY 250d,median worst fall next 60d,fell 10%+ more within 60d,distinct months
top-100 today,"control: strong stock, within 5% of its high (all days)",83197,0.0017805368461162496,0.0026185331310089044,0.00021835338627519793,0.5068692380734883,0.008619302170963421,0.009994711792702393,0.0022391568470195218,0.5156435929180139,0.03079913159741841,0.030866900175131384,0.008884478306146547,0.5300070916018607,0.0722498561304172,0.06267029972752036,0.021029480180674583,0.5371828311116987,0.15492689475147636,0.13340145068200315,0.045347462002854715,0.5366299265598519,-0.05741731252046722,0.2714160366359364,165
top-100 today,"control: strong stock, any day",169180,0.0035520511205875305,0.0039031224979984014,0.0009602629812888264,0.5110828703156401,0.014378234056012996,0.013591776283792933,0.004094310217719242,0.5188556566970091,0.04331596850222558,0.03884545187808397,0.01297354708957598,0.527059936162667,0.08581930021803984,0.06987920534794856,0.02669126487739875,0.5315285494739331,0.1790947147758753,0.14713778800481037,0.05594549327854976,0.5315521929306064,-0.06181206440759435,0.31527958387516253,165
top-100 today,"strong stock, 10% below 52w high",1703,0.01052433634628651,0.010793840864269266,0.004578083576048285,0.5484439224897241,0.021353498628716383,0.021421503319641877,0.008738150823897483,0.5255431591309454,0.05689628417370468,0.052620527955020036,0.017194470098861724,0.5278919553728714,0.1025794109620922,0.08854988602489922,0.03224277506325482,0.5237815619495009,0.2100502030693053,0.1624334906133924,0.07043776402152323,0.5126247798003524,-0.07214196630468594,0.37522019964768055,162
top-100 today,"strong stock, 10% below 52w high, high set <60d ago",1050,0.011431025331523131,0.010999049915954018,0.005528255948465419,0.5495238095238095,0.020750711334854847,0.022742896518322175,0.011176090154490356,0.5314285714285715,0.06331833258288555,0.05363139211359491,0.02028726803211285,0.5247619047619048,0.11519662960996266,0.10025512807590642,0.03846711084413768,0.5161904761904762,0.2090044781408149,0.16464840178307905,0.06954507817093701,0.5047619047619047,-0.07456750845098425,0.3780952380952381,151
top-100 today,"strong stock, 15% below 52w high",991,0.00911956526326886,0.010596479234318945,0.004802093712471062,0.5398587285570131,0.025299726265114522,0.021481085965416646,0.014582442247066077,0.544904137235116,0.07579423206516483,0.0674613925765375,0.027905626487167406,0.5338042381432896,0.1264688026407827,0.10687089730770272,0.04982192716846663,0.5196770938446014,0.2410467347352755,0.18407127429805614,0.0898893302199284,0.515640766902119,-0.08624645534682118,0.437941473259334,152
top-100 today,"strong stock, 15% below 52w high, high set <60d ago",552,0.014209487379427427,0.018248214027201337,0.0093965808368405,0.592391304347826,0.02941863491618978,0.026250443419652214,0.018747393729324737,0.5652173913043478,0.09554848983024777,0.08210127212889462,0.03755775558477811,0.5489130434782609,0.16164622131026843,0.13731007315700627,0.06810258369434571,0.532608695652174,0.25720936213874285,0.19693699249665952,0.0926376681389656,0.5036231884057971,-0.08581716558284525,0.4384057971014493,120
top-100 today,"strong stock, 20% below 52w high",563,0.00975298964266276,0.013279576091798528,0.00841821555540359,0.5559502664298401,0.04328273448117939,0.031677363350457455,0.022403051875306012,0.5719360568383659,0.1025880598126114,0.08946813334612913,0.03954717548038373,0.5648312611012434,0.1673628111298322,0.12466935393258682,0.06958331276326496,0.5079928952042628,0.2979271934525771,0.21468394757801734,0.11824403233516206,0.5062166962699822,-0.09756932557343378,0.49023090586145646,123
top-100 today,"strong stock, 20% below 52w high, high set <60d ago",286,0.0070454377105586274,0.016524672651381023,0.011748553731553485,0.5979020979020979,0.05646226873281924,0.054023140205006426,0.029742304593794875,0.5944055944055944,0.15400779418553148,0.1344419785485368,0.06709567623494768,0.6013986013986014,0.24360122116353267,0.19878005977414392,0.10852420816616866,0.5384615384615384,0.3521601808020169,0.2742484085710124,0.13245618383043778,0.5174825174825175,-0.1033874496679662,0.513986013986014,80
top-100 today,"strong stock, 25% below 52w high",334,0.009587595712637172,0.007632947492031583,0.007574973179152409,0.5508982035928144,0.043052701224659685,0.04657687991021331,0.010431142638036557,0.5179640718562875,0.12442753414167179,0.1077089025830914,0.04025872689853112,0.5389221556886228,0.17391011918571475,0.13398322786763228,0.0532711702900104,0.49700598802395207,0.3342738052914612,0.24289892531932944,0.11768980055136107,0.48502994011976047,-0.12195152150528504,0.5868263473053892,92
top-100 today,"strong stock, 25% below 52w high, high set <60d ago",162,0.015575331655187196,0.024327434113199375,0.017161375825296022,0.5987654320987654,0.07912328015303445,0.09550324812283817,0.023286144756908544,0.5432098765432098,0.20779581186182405,0.21566731141199225,0.07582372605090551,0.5740740740740741,0.3015095549032708,0.2746914599930751,0.1080052542731806,0.5308641975308642,0.44748530599017494,0.397078897078897,0.14999083813480907,0.5246913580246914,-0.12666304183968363,0.5864197530864198,50
