,A,A_nofilter,B,B_nofilter,A_costs,B_costs,SPY_buy_hold
start_cash,10000.0,10000.0,3000.0,3000.0,10000.0,3000.0,
end_equity,9954.352122281909,10387.225710387474,2457.6177620685385,2454.641763068741,4902.601067875064,958.324629784493,
total_return,-0.004564787771809131,0.038722571038747544,-0.1807940793104872,-0.18178607897708632,-0.5097398932124937,-0.6805584567385023,5.795993999823525
cagr,-0.00027449916125998897,0.0022822873711849656,-0.011894860785262917,-0.011966699047705864,-0.04187081845700036,-0.06618458004454053,0.12186159510798156
max_drawdown,-0.3779756575481662,-0.36294929834154477,-0.40221322193109843,-0.4198194439514493,-0.5705714111220894,-0.7334461184152887,-0.34104746704498434
years,16.6652977412731,16.6652977412731,16.6652977412731,16.6652977412731,16.6652977412731,16.6652977412731,
n_trades,1420.0,1606.0,1147.0,1301.0,1468.0,1212.0,
win_rate,0.3352112676056338,0.3449564134495641,0.32781168265039234,0.3320522674865488,0.3235694822888283,0.30775577557755773,
avg_win_R,1.4651181086059168,1.42127798894483,1.6112498910029498,1.5624977786632155,1.4593426072518756,1.5628668470571274,
avg_loss_R,-0.7180880734636977,-0.7249625482755143,-0.7500122506890756,-0.7494517507735697,-0.7541537281767081,-0.7870233594713775,
expectancy_R,0.013747238272313911,0.015396889844081465,0.02403706515765643,0.018236332790374284,-0.03793386487386259,-0.06383107643909003,
avg_pnl_per_trade,-0.032146392759212904,0.2411118993695454,-0.47287030334041447,-0.41918388695715425,-3.475665600902558,-1.6850328962174146,
profit_factor,0.9992721407934648,1.005298042983212,0.9655026535069478,0.9709642098291746,0.8922689045395418,0.8119561149108888,
longest_losing_streak,18.0,17.0,19.0,16.0,18.0,19.0,
avg_days_held,8.073239436619719,8.0,7.803836094158675,7.713297463489623,7.936648501362398,7.3316831683168315,
trades_per_year,85.20699852143913,96.36791522917693,68.82565303104978,78.0664120256284,88.08723509117792,72.72597338590438,
exposure_pct,0.7832618025751072,0.8819742489270386,0.7765855984740105,0.8788745827372437,0.7818311874105865,0.7796852646638054,
