version,ticker,entry_date,exit_date,entry,init_stop,shares,risk_dollars,pnl,R,pct,days_held,partial_taken,exit_reason
2xATR stop + EMA exit after partial,INTU,2011-01-03,2011-01-07,49.68,47.97906840974794,58,98.65403223461955,-98.65403223461955,-1.0,-0.034237753426973855,4,False,stop
2xATR stop + EMA exit after partial,TMUS,2011-01-03,2011-01-19,25.52,24.34927891770188,85,99.5112919953401,110.38057091304204,1.1092265882570485,0.05088538212845383,11,True,close_below_ema20
2xATR stop + EMA exit after partial,SBUX,2011-01-03,2011-01-19,16.245,15.645252328250672,110,65.97224389242618,-0.5500000000002814,-0.00833683936682686,-0.0003077870113882769,11,False,time_stop
2xATR stop + EMA exit after partial,ADI,2011-01-03,2011-01-20,38.02,36.825007441419366,83,99.18438236219286,97.10999999999956,0.9790855948004167,0.030773277222514325,12,False,time_stop
2xATR stop + EMA exit after partial,UNP,2011-01-07,2011-01-20,46.73,45.29085922488497,59,84.90930573178667,83.47016495667164,0.983050847457627,0.030274953104807514,8,True,breakeven_stop
2xATR stop + EMA exit after partial,BKNG,2011-01-05,2011-01-21,16.7048,15.906657274474034,70,55.86999078681755,21.532000000000053,0.38539472974247385,0.018413869067573436,11,False,time_stop
2xATR stop + EMA exit after partial,UNP,2011-01-21,2011-02-07,47.745,45.99709820262193,58,101.37830424792806,-28.70999999999985,-0.2831966880190405,-0.010367577756833123,11,False,time_stop
2xATR stop + EMA exit after partial,C,2011-01-21,2011-02-07,48.5,46.14957290231291,43,101.0683652005448,-4.300000000000061,-0.04254545912034681,-0.002061855670103122,11,False,time_stop
2xATR stop + EMA exit after partial,TMO,2011-01-24,2011-02-08,56.1,54.4373164027329,33,54.86855870981445,-5.939999999999991,-0.10825872119978779,-0.003208556149732615,11,False,time_stop
2xATR stop + EMA exit after partial,AAPL,2011-02-01,2011-02-22,12.1893,11.736840875164535,151,68.32132785015506,4.575300000000066,0.06696737525410497,0.0024857867145775753,14,False,time_stop
2xATR stop + EMA exit after partial,BKNG,2011-02-07,2011-02-23,17.6,16.811972702232644,131,103.23157600752377,-36.62760000000027,-0.35481004375377123,-0.01588636363636375,11,False,time_stop
2xATR stop + EMA exit after partial,TMUS,2011-02-07,2011-02-23,26.14,24.68996390198735,71,102.95256295889811,-2.8399999999999395,-0.027585520150030227,-0.0015302218821728825,11,False,time_stop
2xATR stop + EMA exit after partial,PLD,2011-02-08,2011-02-24,33.61,32.10397285221432,69,103.91587319721194,91.76999999999988,0.8831182106879709,0.03957155608449861,11,False,time_stop
2xATR stop + EMA exit after partial,COP,2011-01-21,2011-03-11,51.746,50.230850255216836,67,101.51503290047211,252.14308315568877,2.4838004377430107,0.07272696632278125,34,True,close_below_ema20
2xATR stop + EMA exit after partial,ICE,2011-02-24,2011-03-11,24.636,23.360007890539187,83,105.90734508524743,76.85800000000016,0.7257098168038795,0.03758727066082164,11,False,time_stop
2xATR stop + EMA exit after partial,PFE,2011-02-24,2011-03-11,17.9032,17.283701271919547,171,105.93428250175714,76.2489000000003,0.7197754890984942,0.02490616202690032,11,False,time_stop
2xATR stop + EMA exit after partial,CAT,2011-02-25,2011-03-11,101.91,97.77033409691323,19,78.65365215864854,-79.23000000000003,-1.007327667889966,-0.0409184574624669,10,False,stop_gap
2xATR stop + EMA exit after partial,REGN,2011-02-25,2011-03-14,36.64,34.0673762902593,41,105.47757209936884,72.15999999999991,0.6841264788690723,0.04803493449781653,11,False,time_stop
2xATR stop + EMA exit after partial,CMCSA,2011-03-11,2011-03-15,11.7104,11.16671703221096,197,107.10554465444098,-107.10554465444098,-1.0,-0.046427360960261004,2,False,stop
2xATR stop + EMA exit after partial,DIS,2011-03-11,2011-03-15,42.83,41.16332248294938,64,106.6673610912394,-108.79999999999973,-1.019993359608251,-0.03969180480971272,2,False,stop_gap
2xATR stop + EMA exit after partial,AAPL,2011-03-14,2011-03-15,12.6136,12.150493244260154,179,82.89610927743236,-82.89610927743236,-1.0,-0.0367148756691068,1,False,stop
