version,ticker,entry_date,exit_date,entry,init_stop,shares,risk_dollars,pnl,R,pct,days_held,partial_taken,exit_reason
EMA exit only after +2R partial,REGN,2019-02-13,2019-03-01,418.5181,398.89071,5,98.13694999999996,79.23550000000006,0.8073972137915443,0.03786479007717948,11,False,time_stop
EMA exit only after +2R partial,AVGO,2019-02-28,2019-03-07,27.537509999999997,26.931041999999998,168,101.88662399999993,-106.4110390560001,-1.0444063693385324,-0.023001318637741783,5,False,stop
EMA exit only after +2R partial,SBUX,2019-03-01,2019-03-08,70.70062999999999,69.71022,53,52.491729999999095,-56.18637165999934,-1.0703852142042243,-0.014994494674233987,5,False,stop
EMA exit only after +2R partial,LLY,2019-02-13,2019-03-12,120.01989999999999,116.74314,30,98.30279999999988,146.75319869999987,1.4928689589716677,0.040758018378618845,18,True,close_below_ema20
EMA exit only after +2R partial,BSX,2019-03-15,2019-03-18,40.27022999999999,38.95735538969273,57,74.8338527875139,-77.0544220447263,-1.0296733252999488,-0.03356901526753021,1,False,stop
EMA exit only after +2R partial,PG,2019-03-07,2019-03-22,99.19909999999999,97.73217,45,66.01184999999958,60.016415579999304,0.9091763915115193,0.013444659518080153,11,True,breakeven_stop
EMA exit only after +2R partial,TMUS,2019-03-26,2019-03-28,72.65257999999999,71.56836,71,76.97961999999913,-82.06097355999917,-1.0660090756488547,-0.015908428303578324,2,False,stop
EMA exit only after +2R partial,LLY,2019-03-19,2019-04-04,125.47534999999998,121.83803999999999,17,61.83426999999975,29.534270000000376,0.47763594524525793,0.013845827088747093,12,False,time_stop
EMA exit only after +2R partial,NOW,2019-03-28,2019-04-04,49.012964,47.07288,52,100.88436799999994,-103.33215776000003,-1.024263320557255,-0.04054349539032165,5,False,stop
EMA exit only after +2R partial,SYK,2019-04-05,2019-04-08,195.64544999999995,193.12668,23,57.9317099999991,-62.37362363999924,-1.0766749961290665,-0.013861281619378154,1,False,stop
EMA exit only after +2R partial,ABT,2019-03-28,2019-04-12,79.38931,77.54238000000001,32,59.10175999999956,-35.1257599999999,-0.5943268017737571,-0.013826546672341615,11,False,time_stop
EMA exit only after +2R partial,LLY,2019-04-08,2019-04-12,127.13700999999999,124.48539,35,92.8066999999998,-97.16368864999993,-1.0469469192418235,-0.02183554096482211,4,False,stop
EMA exit only after +2R partial,INTU,2019-04-12,2019-04-16,261.19093,257.36238000000003,26,99.5422999999987,-106.23372187999917,-1.0672218934061253,-0.015643393053502923,2,False,stop
EMA exit only after +2R partial,AMD,2019-04-16,2019-05-01,27.867839999999998,26.933040000000002,77,71.97959999999966,-74.05344407999962,-1.028811553273427,-0.034510498122566916,10,False,stop
EMA exit only after +2R partial,KLAC,2019-04-16,2019-05-02,12.371358999999998,12.108879,381,100.00487999999935,84.59533500000067,0.8459120694910212,0.01794750277637257,11,False,time_stop
