version,ticker,entry_date,exit_date,entry,init_stop,shares,risk_dollars,pnl,R,pct,days_held,partial_taken,exit_reason
EMA exit only after +2R partial,INTU,2011-01-03,2011-01-05,49.68,48.81114,115,99.91889999999977,-99.91889999999977,-1.0,-0.01748913043478257,2,False,stop
EMA exit only after +2R partial,TMUS,2011-01-03,2011-01-19,25.52,24.6753,118,99.67459999999994,116.19460000000001,1.1657393157333973,0.03858542319749216,11,True,close_below_ema20
EMA exit only after +2R partial,UNP,2011-01-07,2011-01-20,46.73,45.94401,129,101.39270999999977,100.60671999999977,0.9922480620155039,0.01668942979378481,8,True,breakeven_stop
EMA exit only after +2R partial,BKNG,2011-01-05,2011-01-21,16.7048,15.9512328,135,101.73157199999989,41.5260000000001,0.408191863977096,0.01841386906757344,11,False,time_stop
EMA exit only after +2R partial,UNP,2011-01-21,2011-01-25,47.745,46.51344,82,100.98791999999956,-100.98791999999956,-1.0,-0.025794533459000832,2,False,stop
EMA exit only after +2R partial,SBUX,2011-01-10,2011-01-26,16.43,15.879105,186,102.4664700000001,69.75,0.6807104802185527,0.02282410225197809,11,False,time_stop
EMA exit only after +2R partial,REGN,2011-01-26,2011-02-10,33.75,32.907059999999994,92,77.55048000000053,64.40000000000026,0.8304268393954469,0.020740740740740823,11,False,time_stop
EMA exit only after +2R partial,TMO,2011-02-10,2011-02-17,56.96,55.144800000000004,55,99.83599999999984,-99.83599999999984,-1.0,-0.031867977528089834,5,False,stop
EMA exit only after +2R partial,AAPL,2011-02-01,2011-02-22,12.1893,11.736840875164535,134,60.629522727952164,4.060200000000059,0.06696737525410497,0.0024857867145775753,14,False,time_stop
EMA exit only after +2R partial,BKNG,2011-01-25,2011-02-23,17.0744,16.62336,225,101.48399999999978,128.83095999999964,1.269470655472783,0.033534533831024387,20,True,close_below_ema20
EMA exit only after +2R partial,CB,2011-02-17,2011-02-24,63.1,61.938,48,55.775999999999954,55.776000000000124,1.000000000000003,0.018415213946117313,4,True,breakeven_stop
EMA exit only after +2R partial,CAT,2011-02-28,2011-03-10,102.72,98.580310232848,26,107.6319339459518,-107.6319339459518,-1.0,-0.04030071813816192,8,False,stop
EMA exit only after +2R partial,COP,2011-01-21,2011-03-11,51.746,50.6585907,61,66.33196730000027,203.9633580000001,3.074887815064084,0.06461681302047266,34,True,close_below_ema20
EMA exit only after +2R partial,ICE,2011-02-24,2011-03-14,24.636,24.13584,211,105.53375999999948,148.49359999999947,1.4070720118377305,0.028566371872087833,12,True,close_below_ema20
EMA exit only after +2R partial,CMCSA,2011-03-11,2011-03-14,11.7104,11.4177708,374,109.44332080000014,-109.44332080000014,-1.0,-0.024988830441317153,1,False,stop
EMA exit only after +2R partial,AAPL,2011-03-14,2011-03-15,12.6136,12.3055821,352,108.42230079999979,-139.2863999999999,-1.284665598979801,-0.03137090124944503,1,False,stop_gap
EMA exit only after +2R partial,REGN,2011-02-25,2011-03-16,36.64,34.73523,56,106.66711999999995,104.15999999999997,0.976495849892638,0.05076419213973797,13,False,time_stop
EMA exit only after +2R partial,BKNG,2011-03-16,2011-03-18,18.574,18.031950000000002,195,105.69974999999994,-105.69974999999994,-1.0,-0.029183266932270895,2,False,stop
EMA exit only after +2R partial,COP,2011-03-18,2011-04-04,59.3616,56.08742701570171,32,104.77353549754548,51.95839999999998,0.4959114890345302,0.027352699388156643,11,False,time_stop
EMA exit only after +2R partial,DHR,2011-03-18,2011-04-11,33.9286,32.8739931,66,69.6040554000002,44.358600000000024,0.637299073237619,0.01980924647642403,16,False,time_stop
EMA exit only after +2R partial,BX,2011-04-04,2011-04-12,17.949,17.2839987,168,111.72021840000002,-111.72021840000002,-1.0,-0.03704949022229651,6,False,stop
EMA exit only after +2R partial,CVX,2011-03-14,2011-04-13,100.75,97.5024,29,94.18040000000016,151.98280000000005,1.6137412879962263,0.05201772910071021,22,True,close_below_ema20
EMA exit only after +2R partial,CAT,2011-03-16,2011-04-13,101.7,96.91299000000001,22,105.31421999999989,176.76999999999992,1.6785007760585429,0.07900688298918383,20,True,close_below_ema20
EMA exit only after +2R partial,TMUS,2011-02-09,2011-04-19,26.0,25.2747,77,55.84810000000006,299.26279999999997,5.358513539404199,0.14948191808191807,48,True,close_below_ema20
EMA exit only after +2R partial,ISRG,2011-04-19,2011-04-25,39.7778,38.8555056,75,69.17207999999988,-69.17207999999988,-1.0,-0.02318615911387755,3,False,stop
EMA exit only after +2R partial,FISV,2011-04-12,2011-04-28,15.71,15.329655,280,106.49660000000004,-106.49660000000004,-1.0,-0.02421037555697009,11,False,stop
EMA exit only after +2R partial,LOW,2011-04-28,2011-05-03,26.79,25.88409,132,119.58011999999982,-119.58011999999982,-1.0,-0.03381522956326983,3,False,stop
EMA exit only after +2R partial,CRM,2011-05-02,2011-05-03,34.905,33.411555,75,112.00837500000009,-112.00837500000009,-1.0,-0.042785990545767115,1,False,stop
