version,ticker,entry_date,exit_date,entry,init_stop,shares,risk_dollars,pnl,R,pct,days_held,partial_taken,exit_reason
"buy the dip (RSI2<10), take 20%, max 10 days",NEE,2010-11-16,2010-11-22,13.3325,12.951868445030053,262,99.72546740212601,-105.45499999999996,-1.057453053338628,-0.03018938683667728,4,False,stop_gap
"buy the dip (RSI2<10), take 20%, max 10 days",SPGI,2010-11-16,2010-11-23,34.2479,32.725119282068384,65,98.98074666555513,-98.98074666555513,-1.0,-0.044463477116308374,5,False,stop
"buy the dip (RSI2<10), take 20%, max 10 days",GOOGL,2010-11-16,2010-11-30,14.8338,14.33065637973994,198,99.62243681149185,-99.62243681149185,-1.0,-0.03391872751823942,9,False,stop
"buy the dip (RSI2<10), take 20%, max 10 days",AAPL,2010-11-16,2010-12-02,10.9186,10.493177320626708,123,52.32698956291481,51.88140000000013,0.991484517518843,0.03863132636052251,11,False,max_hold
"buy the dip (RSI2<10), take 20%, max 10 days",GS,2010-11-23,2010-12-09,159.1,152.00637602692393,13,92.21711164998882,102.70000000000007,1.1136761731358404,0.049654305468259,11,False,max_hold
"buy the dip (RSI2<10), take 20%, max 10 days",SPGI,2010-11-24,2010-12-10,32.3273,30.9130768633102,68,96.16717329490656,119.02039999999971,1.2376406202042705,0.054143092680180395,11,False,max_hold
"buy the dip (RSI2<10), take 20%, max 10 days",ORCL,2010-11-24,2010-12-10,27.67,26.441140731998605,45,55.29866706006287,79.64999999999998,1.4403602154367992,0.06396819660281891,11,False,max_hold
"buy the dip (RSI2<10), take 20%, max 10 days",VZ,2010-11-30,2010-12-15,31.71,30.756663744745506,89,84.84692671765006,257.21000000000004,3.0314592401906597,0.09113844213181962,11,False,max_hold
"buy the dip (RSI2<10), take 20%, max 10 days",TJX,2010-12-03,2010-12-20,11.06,10.60504171493988,127,57.77970220263534,-25.400000000000134,-0.43960074267813787,-0.01808318264014476,11,False,max_hold
"buy the dip (RSI2<10), take 20%, max 10 days",DIS,2010-12-10,2010-12-28,36.86,35.50056363583903,75,101.95772731207278,45.00000000000011,0.4413593867413684,0.01627780792186656,11,False,max_hold
"buy the dip (RSI2<10), take 20%, max 10 days",MCD,2010-12-14,2010-12-30,77.05,74.96649478230657,39,81.2567034900437,-7.409999999999911,-0.09119247621099778,-0.0024659312134976993,11,False,max_hold
"buy the dip (RSI2<10), take 20%, max 10 days",LIN,2010-12-15,2010-12-31,92.1,89.32392930746923,34,94.38640354604604,94.86000000000021,1.0050176342795298,0.030293159609120594,11,False,max_hold
"buy the dip (RSI2<10), take 20%, max 10 days",AXP,2010-12-20,2011-01-05,43.58,41.74690433711784,31,56.825965549346904,15.810000000000159,0.278217885911168,0.011702615878843624,11,False,max_hold
"buy the dip (RSI2<10), take 20%, max 10 days",LOW,2010-12-30,2011-01-06,25.01,24.060784111716586,110,104.41374771117569,-104.41374771117569,-1.0,-0.03795345414967674,5,False,stop
"buy the dip (RSI2<10), take 20%, max 10 days",ICE,2011-01-06,2011-01-07,23.52,22.730886558038062,132,104.16297433897577,-104.16297433897577,-1.0,-0.03355074158001436,1,False,stop
"buy the dip (RSI2<10), take 20%, max 10 days",INTC,2010-12-28,2011-01-12,20.81,20.217766773774716,136,80.54371876663839,62.560000000000116,0.7767210275112449,0.022104757328207634,11,False,max_hold
"buy the dip (RSI2<10), take 20%, max 10 days",RTX,2010-12-31,2011-01-18,49.5909,48.49424148778475,70,76.76609585506746,21.147000000000205,0.2754731729476673,0.006091843463216093,11,False,max_hold
"buy the dip (RSI2<10), take 20%, max 10 days",CB,2011-01-07,2011-01-21,61.53,60.09206020974798,63,90.59020678587751,-96.39000000000007,-1.064022297993327,-0.0248659190638713,9,False,stop_gap
"buy the dip (RSI2<10), take 20%, max 10 days",CRM,2011-01-21,2011-01-25,33.21,30.829143068888115,30,71.42570793335658,-71.42570793335658,-1.0,-0.07169096450201402,2,False,stop
"buy the dip (RSI2<10), take 20%, max 10 days",ICE,2011-01-12,2011-01-28,22.7,21.79115761620484,112,101.79034698505802,100.12800000000021,0.9836689132683493,0.039383259911894355,11,False,max_hold
"buy the dip (RSI2<10), take 20%, max 10 days",VZ,2011-01-19,2011-02-03,34.5,33.24067619405228,81,102.00522828176557,122.30999999999983,1.1990561862392688,0.04376811594202892,11,False,max_hold
"buy the dip (RSI2<10), take 20%, max 10 days",TMUS,2011-01-20,2011-02-04,25.22,23.547978234764575,43,71.89693590512324,27.520000000000024,0.3827701369125941,0.025376685170499624,11,False,max_hold
"buy the dip (RSI2<10), take 20%, max 10 days",UNP,2011-01-21,2011-02-07,47.745,45.99709820262193,58,101.37830424792806,-28.70999999999985,-0.2831966880190405,-0.010367577756833123,11,False,max_hold
"buy the dip (RSI2<10), take 20%, max 10 days",CRM,2011-01-26,2011-02-10,31.85,29.436008499397662,29,70.00575351746784,41.759999999999934,0.5965223985422852,0.045211930926216566,11,False,max_hold
"buy the dip (RSI2<10), take 20%, max 10 days",MDLZ,2011-01-28,2011-02-14,30.5,29.75759452074476,87,64.58927669520585,14.790000000000148,0.22898537894755427,0.005573770491803335,11,False,max_hold
"buy the dip (RSI2<10), take 20%, max 10 days",PG,2011-02-03,2011-02-18,62.66,61.00661814715346,46,76.05556523094066,68.08000000000018,0.8951350212607995,0.02361953399297804,11,False,max_hold
"buy the dip (RSI2<10), take 20%, max 10 days",FISV,2011-02-07,2011-02-23,15.0625,14.491283674049726,184,105.1038039748505,108.55999999999997,1.0328836435451612,0.03917012448132779,11,False,max_hold
"buy the dip (RSI2<10), take 20%, max 10 days",COP,2011-02-11,2011-03-01,53.2631,51.59073453648861,39,65.22225307694421,250.6256999999999,3.8426409419547487,0.1206520086138433,11,False,max_hold
"buy the dip (RSI2<10), take 20%, max 10 days",PFE,2011-02-14,2011-03-02,17.8558,17.22875764431686,150,94.05635335247062,51.22499999999999,0.5446203065946787,0.019125438232955115,11,False,max_hold
"buy the dip (RSI2<10), take 20%, max 10 days",NEE,2011-02-18,2011-03-08,13.59,13.23565383919749,217,76.89311689414477,19.52999999999997,0.2539889237015327,0.006622516556291381,11,False,max_hold
