version,ticker,entry_date,exit_date,entry,init_stop,shares,risk_dollars,pnl,R,pct,days_held,partial_taken,exit_reason
"trailing stop under 5-day low, no partial",REGN,2019-02-13,2019-03-01,418.5181,396.3129371656971,4,88.82065133721153,63.38840000000005,0.7136673627774152,0.03786479007717949,11,False,time_stop
"trailing stop under 5-day low, no partial",LLY,2019-02-13,2019-03-07,120.01989999999999,114.71574393007435,18,95.47480925866151,90.98820000000006,0.9530074027536806,0.04211718223394624,15,False,stop
"trailing stop under 5-day low, no partial",AVGO,2019-02-28,2019-03-07,27.537509999999997,26.364840148774498,86,100.84960720539299,-60.318077999999716,-0.5980992853760384,-0.025469732012807143,5,False,stop
"trailing stop under 5-day low, no partial",SBUX,2019-03-01,2019-03-08,70.70062999999999,68.47477077460817,45,100.16366514263169,-27.935099999999196,-0.27889454684211085,-0.008780402664021272,5,False,stop_gap
"trailing stop under 5-day low, no partial",PG,2019-03-04,2019-03-08,98.87877999999999,96.3168716191708,23,58.92389275907148,-26.372029999999896,-0.44756089194293525,-0.011596117994174237,4,False,stop
"trailing stop under 5-day low, no partial",PANW,2019-03-07,2019-03-08,39.57453499999999,37.26160083118611,43,99.45616925899694,-46.4300368999996,-0.466839183993601,-0.02728442166155562,1,False,stop
"trailing stop under 5-day low, no partial",NFLX,2019-03-07,2019-03-08,36.052015999999995,34.00925631167035,49,100.09522472815266,-74.06795899999943,-0.7399749508646357,-0.041928057504467674,1,False,stop_gap
"trailing stop under 5-day low, no partial",BSX,2019-03-12,2019-03-18,40.02999,38.64180250310281,71,98.56131227970039,-39.72449999999999,-0.4030435378870419,-0.013977020728708649,4,False,stop
"trailing stop under 5-day low, no partial",CRM,2019-03-12,2019-03-25,158.158,149.79391805732547,11,92.00490136941968,21.02946999999989,0.22856901846524452,0.012087722404178039,9,False,stop_gap
"trailing stop under 5-day low, no partial",ISRG,2019-03-12,2019-03-27,182.0819,173.94612286678372,11,89.49354846537892,68.78164370000002,0.7685653868849394,0.03434101192924723,11,False,time_stop
"trailing stop under 5-day low, no partial",TMUS,2019-03-26,2019-03-28,72.65257999999999,70.52141395384162,34,72.45964556938458,-36.86347999999958,-0.508744967082409,-0.014923351655233551,2,False,stop
"trailing stop under 5-day low, no partial",ADI,2019-03-27,2019-03-28,107.24713999999999,102.96371546486792,19,81.38506616750934,-67.84747999999975,-0.8336600705140904,-0.03329617927340521,1,False,stop
"trailing stop under 5-day low, no partial",LLY,2019-03-19,2019-04-02,125.47534999999998,119.98795154299991,18,98.77317222600124,52.49034000000043,0.5314230455198722,0.023240660416568068,10,False,stop
"trailing stop under 5-day low, no partial",PM,2019-04-02,2019-04-03,88.91882999999999,85.9168593557155,25,75.04926610711209,-76.36949999999949,-1.0175915630008046,-0.034354703047711946,1,False,stop
"trailing stop under 5-day low, no partial",NOW,2019-03-28,2019-04-04,49.012964,46.43143394415855,39,100.67967217781646,-35.68928999999994,-0.3544835737741272,-0.01867077453222373,5,False,stop
"trailing stop under 5-day low, no partial",ABT,2019-03-28,2019-04-04,79.38931,76.80961394307441,32,82.5502738216187,-23.93696,-0.28996826893300093,-0.009422301314874761,5,False,stop
"trailing stop under 5-day low, no partial",SYK,2019-04-05,2019-04-08,195.64544999999995,190.3181959086096,18,95.89057364502645,-45.337859999999296,-0.47280830926962375,-0.012874155775153275,1,False,stop
"trailing stop under 5-day low, no partial",LLY,2019-04-08,2019-04-11,127.13700999999999,122.59139986674303,22,100.00342293165306,-58.33563999999987,-0.5833364327925968,-0.020856397362184264,3,False,stop
"trailing stop under 5-day low, no partial",INTU,2019-04-12,2019-04-16,261.19093,252.2747465076512,11,98.07801841583657,-40.90525999999937,-0.4170685813264192,-0.014237324397137156,2,False,stop
"trailing stop under 5-day low, no partial",SBUX,2019-03-12,2019-04-17,70.08001,67.91930954150746,45,97.23152063216439,227.46509999999972,2.3394172848588957,0.07212869975332473,26,False,stop
"trailing stop under 5-day low, no partial",ADBE,2019-04-09,2019-04-17,269.3590899999999,258.41774196530565,5,54.70674017347136,-3.0904999999995653,-0.05649212492281206,-0.0022947062970843615,6,False,stop
"trailing stop under 5-day low, no partial",ADI,2019-04-03,2019-04-23,109.72962,105.30610367138172,20,88.47032657236554,74.53620000000001,0.8424994332877486,0.033963573372440374,13,False,time_stop
"trailing stop under 5-day low, no partial",ANET,2019-04-24,2019-04-25,20.395975599999996,19.48834393045759,109,98.93185198012243,-75.01413789999951,-0.7582405099933992,-0.03374210253516854,1,False,stop
"trailing stop under 5-day low, no partial",KLAC,2019-04-16,2019-05-02,12.371358999999998,11.890662436053868,208,99.98488530079518,46.183280000000366,0.4619026151909089,0.01794750277637257,11,False,time_stop
"trailing stop under 5-day low, no partial",PANW,2019-04-23,2019-05-06,39.9882483,37.99239601682975,49,97.7967618753423,36.30810329999995,0.3712607923182617,0.01852998647105027,9,False,stop
"trailing stop under 5-day low, no partial",CRM,2019-05-03,2019-05-06,162.86269999999996,156.12091141534083,15,101.126828769887,-66.01979999999955,-0.6528415931070763,-0.02702472696326397,1,False,stop_gap
"trailing stop under 5-day low, no partial",PLD,2019-04-23,2019-05-07,73.61354,71.26219224731015,42,98.75660561297357,55.920480000000026,0.5662454643201488,0.01808688999333547,10,False,stop
"trailing stop under 5-day low, no partial",TMO,2019-04-26,2019-05-07,270.73045999999994,257.7195866306305,7,91.07611358558614,-2.457769999999641,-0.026985890188320597,-0.0012968987678739542,7,False,stop
"trailing stop under 5-day low, no partial",ADP,2019-05-06,2019-05-13,160.79062999999996,155.5356231106639,19,99.84513089738539,-68.55142999999936,-0.6865775965625429,-0.022438931920348636,5,False,stop
"trailing stop under 5-day low, no partial",CMCSA,2019-05-09,2019-05-13,40.302662399999996,38.942403591801124,72,97.93863419031874,-59.72220719999973,-0.6097921182354337,-0.02058114900121329,2,False,stop
"trailing stop under 5-day low, no partial",MDLZ,2019-05-14,2019-05-23,51.71165999999999,50.36533454037052,72,96.93543309332176,1.1923200000009047,0.012300146210241133,0.0003202372540354065,7,False,stop
"trailing stop under 5-day low, no partial",BX,2019-05-08,2019-05-24,39.459419999999994,37.60398126491682,53,98.33825295940832,79.47774000000047,0.8082077686778407,0.038003092797613575,12,False,time_stop
"trailing stop under 5-day low, no partial",TMUS,2019-05-09,2019-05-24,74.03395999999998,71.49009002437735,25,63.59674939056568,59.73850000000063,0.9393326006826159,0.032276268890655394,11,False,time_stop
"trailing stop under 5-day low, no partial",PLD,2019-05-14,2019-05-28,75.30523,72.70529088149358,28,72.79829531817956,-2.5345599999995443,-0.034816199870089555,-0.0012020413456008796,9,False,stop
"trailing stop under 5-day low, no partial",PG,2019-05-24,2019-05-28,107.25715,104.55744227768724,36,97.18947800325907,-53.02943999999991,-0.5456294352997931,-0.013733723113097798,1,False,stop
"trailing stop under 5-day low, no partial",MSFT,2019-05-24,2019-05-29,127.03690999999998,122.2169275627037,20,96.3996487459255,-48.43299999999971,-0.5024188431189363,-0.019062570082978132,2,False,stop
"trailing stop under 5-day low, no partial",NOW,2019-05-28,2019-05-29,53.94188799999999,50.61264682924473,29,96.54799395190255,-35.3412559999997,-0.3660485790891285,-0.022592164367698623,1,False,stop
