version,ticker,entry_date,exit_date,entry,init_stop,shares,risk_dollars,pnl,R,pct,days_held,partial_taken,exit_reason
"trailing stop under 5-day low, no partial",INTU,2011-01-03,2011-01-04,49.68,47.97906840974794,58,98.65403223461955,-36.54000000000015,-0.37038526629201046,-0.012681159420289906,1,False,stop
"trailing stop under 5-day low, no partial",ADI,2011-01-03,2011-01-05,38.02,36.825007441419366,83,99.18438236219286,-73.87000000000005,-0.7447745122840815,-0.02340873224618623,2,False,stop
"trailing stop under 5-day low, no partial",SBUX,2011-01-03,2011-01-06,16.245,15.645252328250672,110,65.97224389242618,-29.70000000000015,-0.4501893258084223,-0.016620498614958533,3,False,stop
"trailing stop under 5-day low, no partial",TMUS,2011-01-03,2011-01-19,25.52,24.34927891770188,85,99.5112919953401,23.800000000000097,0.23916883725230498,0.010971786833855844,11,False,time_stop
"trailing stop under 5-day low, no partial",UNP,2011-01-07,2011-01-19,46.73,45.29085922488497,69,99.30071348293694,122.13000000000022,1.2299005285695765,0.03787716670233262,7,False,stop
"trailing stop under 5-day low, no partial",BKNG,2011-01-05,2011-01-20,16.7048,15.906657274474034,126,100.56598341627159,60.12719999999998,0.597888052773433,0.028566639528758195,10,False,stop
"trailing stop under 5-day low, no partial",UNP,2011-01-21,2011-01-25,47.745,45.99709820262193,57,99.63040245054998,-67.54499999999973,-0.6779557076819464,-0.024819352811812658,2,False,stop
"trailing stop under 5-day low, no partial",SBUX,2011-01-10,2011-01-26,16.43,15.743983045965178,143,98.10042442697944,53.625,0.5466337206309999,0.02282410225197809,11,False,time_stop
"trailing stop under 5-day low, no partial",BKNG,2011-01-21,2011-02-07,17.1912,16.397196783280148,127,100.83840852342107,31.597600000000355,0.31334885647923916,0.014472520824608105,11,False,time_stop
"trailing stop under 5-day low, no partial",COP,2011-01-21,2011-02-09,51.746,50.230850255216836,54,81.81808621829096,133.79039999999975,1.635217910659099,0.04788002937425106,13,False,stop
"trailing stop under 5-day low, no partial",REGN,2011-01-26,2011-02-10,33.75,31.727241204880315,49,99.11518096086458,34.30000000000014,0.34606202266374736,0.020740740740740823,11,False,time_stop
"trailing stop under 5-day low, no partial",TMO,2011-02-10,2011-02-17,56.96,55.08580007546266,39,73.09379705695639,-67.86000000000007,-0.9283961530568999,-0.030547752808988794,5,False,stop_gap
"trailing stop under 5-day low, no partial",BKNG,2011-02-09,2011-02-18,17.736,16.954037687129166,134,104.7829499246919,27.603999999999935,0.26343980599743644,0.011614794767704077,7,False,stop
"trailing stop under 5-day low, no partial",ETN,2011-01-25,2011-02-22,51.76,49.7010008191913,48,98.8319606788175,142.32000000000016,1.440019999830919,0.057283616692426646,19,False,stop_gap
"trailing stop under 5-day low, no partial",TMUS,2011-02-04,2011-02-22,25.9,24.418422663678683,36,53.336784107567354,24.47999999999999,0.45897030369565905,0.026254826254826245,11,False,time_stop
"trailing stop under 5-day low, no partial",ORCL,2011-02-17,2011-02-22,33.14,31.991607155397755,66,75.79392774374818,-34.980000000000075,-0.46151454399175634,-0.01599275799637903,2,False,stop
"trailing stop under 5-day low, no partial",SBUX,2011-02-18,2011-02-22,16.84,16.19759294070745,143,91.86420947883438,-39.3249999999998,-0.4280774876646636,-0.016330166270783764,1,False,stop
"trailing stop under 5-day low, no partial",PLD,2011-02-07,2011-02-24,33.24,31.696586148538497,66,101.86531419645934,96.36000000000006,0.9459549676954647,0.043922984356197375,12,False,stop
"trailing stop under 5-day low, no partial",MU,2011-02-25,2011-03-07,11.14,10.299673544642001,123,103.36015400903393,-27.06000000000008,-0.26180301547959156,-0.019748653500897724,6,False,stop
"trailing stop under 5-day low, no partial",ICE,2011-02-24,2011-03-10,24.636,23.360007890539187,81,103.35536086632581,78.89400000000002,0.7633276042839927,0.039535638902419235,10,False,stop
"trailing stop under 5-day low, no partial",CAT,2011-02-25,2011-03-10,101.91,97.77033409691323,25,103.49164757716913,-33.999999999999986,-0.3285289276571589,-0.01334510842900598,9,False,stop_gap
"trailing stop under 5-day low, no partial",HON,2011-03-07,2011-03-10,54.0454,51.76031378185233,25,57.127155453691714,-38.40249999999994,-0.6722284646419983,-0.028422400426308208,3,False,stop
"trailing stop under 5-day low, no partial",PFE,2011-02-24,2011-03-11,17.9032,17.283701271919547,168,104.07578631751579,74.91120000000029,0.7197754890984941,0.02490616202690032,11,False,time_stop
"trailing stop under 5-day low, no partial",REGN,2011-02-25,2011-03-14,36.64,34.0673762902593,40,102.90494838962815,70.39999999999992,0.6841264788690723,0.04803493449781654,11,False,time_stop
"trailing stop under 5-day low, no partial",CMCSA,2011-03-11,2011-03-14,11.7104,11.16671703221096,194,105.47449575107385,-54.55280000000002,-0.5172131861028083,-0.02401284328460173,1,False,stop
"trailing stop under 5-day low, no partial",DIS,2011-03-11,2011-03-14,42.83,41.16332248294938,63,105.00068357418878,-42.21000000000011,-0.40199738290443043,-0.01564324071912215,1,False,stop
"trailing stop under 5-day low, no partial",LIN,2011-03-11,2011-03-15,97.51,94.38545848602708,33,103.10986996110665,-56.75999999999996,-0.5504807640763197,-0.017639216490616335,2,False,stop
"trailing stop under 5-day low, no partial",AAPL,2011-03-14,2011-03-15,12.6136,12.150493244260154,227,105.12523355294495,-89.82389999999994,-0.8544466153767097,-0.03137090124944503,1,False,stop_gap
"trailing stop under 5-day low, no partial",PFE,2011-03-14,2011-03-15,18.5484,17.934196025579187,93,57.120969621135714,-22.05960000000013,-0.38619092333890825,-0.01278816501692876,1,False,stop
"trailing stop under 5-day low, no partial",BKNG,2011-03-16,2011-03-18,18.574,17.594600807731396,104,101.85751599593496,-59.69600000000017,-0.5860735893302422,-0.03090341337353298,2,False,stop
